product,type,inches,ram,os,weight,price,screen,screenw,screenh,touchscreen,ipspanel,retina,cpu_brand,cpu_freq,cpu_model,primary_storage,secondary_storage,primary_storage_type,secondary_storage_type,gpu_brand,gpu_model,total_storage_gb,storage_type,cpu_generation,price_segment
MacBook Pro,Ultrabook,15.4,16,macOS,1.83,2858,Standard,2880,1800,No,Yes,Yes,Intel,2.9,Core i7,512,0,SSD,No,AMD,Radeon Pro 560,0,SSD,Unknown,Premium
IdeaPad 320-15IKB,Notebook,15.6,8,No OS,2.2,499,Full HD,1920,1080,No,No,No,Intel,2.4,Core i3 7100U,1024,0,HDD,No,Nvidia,GeForce 940MX,0,HDD,7th Gen,Low
XPS 13,Ultrabook,13.3,8,Windows 10,1.22,979,Full HD,1920,1080,Yes,Yes,No,Intel,1.6,Core i5 8250U,128,0,SSD,No,Intel,UHD Graphics 620,0,SSD,8th Gen,Mid
Vivobook E200HA,Netbook,11.6,2,Windows 10,0.98,192,Standard,1366,768,No,No,No,Intel,1.44,Atom x5-Z8350,32,0,Flash Storage,No,Intel,HD Graphics 400,0,Unknown,8th Gen,Low
Legion Y520-15IKBN,Gaming,15.6,8,Windows 10,2.5,999,Full HD,1920,1080,No,Yes,No,Intel,2.5,Core i5 7300HQ,128,1024,SSD,HDD,Nvidia,GeForce GTX 1050,0,Mixed,7th Gen,Mid
255 G6,Notebook,15.6,4,No OS,1.86,258,Standard,1366,768,No,No,No,AMD,1.5,E-Series E2-9000e,500,0,HDD,No,AMD,Radeon R2,0,HDD,9th Gen,Low
Inspiron 5379,2 in 1 Convertible,13.3,8,Windows 10,1.62,819,Full HD,1920,1080,Yes,No,No,Intel,1.6,Core i5 8250U,256,0,SSD,No,Intel,UHD Graphics 620,0,SSD,8th Gen,Mid
15-BS101nv (i7-8550U/8GB/256GB/FHD/W10),Ultrabook,15.6,8,Windows 10,1.91,659,Full HD,1920,1080,No,No,No,Intel,1.8,Core i7 8550U,256,0,SSD,No,Intel,HD Graphics 620,0,SSD,8th Gen,Mid
Inspiron 3567,Notebook,15.6,4,Windows 10,2.3,419,Standard,1366,768,No,No,No,Intel,2,Core i3 6006U,1024,0,HDD,No,Intel,HD Graphics 520,0,HDD,6th Gen,Low
MacBook Air,Ultrabook,13.3,8,Mac OS X,1.35,1099,Standard,1440,900,No,No,No,Intel,1.6,Core i5,128,0,Flash Storage,No,Intel,HD Graphics 6000,0,Unknown,Unknown,High
Inspiron 5570,Notebook,15.6,8,Windows 10,2.2,800,Full HD,1920,1080,No,No,No,Intel,1.6,Core i5 8250U,256,0,SSD,No,AMD,Radeon 530,0,SSD,8th Gen,Mid
Latitude 5590,Ultrabook,15.6,8,Windows 10,1.88,1298,Full HD,1920,1080,No,No,No,Intel,1.9,Core i7 8650U,256,256,SSD,SSD,Intel,UHD Graphics 620,0,SSD,8th Gen,High
ProBook 470,Notebook,17.3,8,Windows 10,2.5,896,Full HD,1920,1080,No,No,No,Intel,1.6,Core i5 8250U,1024,0,HDD,No,Nvidia,GeForce 930MX,0,HDD,8th Gen,Mid
"LapBook 15.6""",Notebook,15.6,4,Windows 10,1.89,245,Full HD,1920,1080,No,No,No,Intel,1.44,Atom x5-Z8300,64,0,Flash Storage,No,Intel,HD Graphics,0,Unknown,8th Gen,Low
E402WA-GA010T (E2-6110/2GB/32GB/W10),Notebook,14,2,Windows 10,1.65,199,Standard,1366,768,No,No,No,AMD,1.5,E-Series E2-6110,32,0,Flash Storage,No,AMD,Radeon R2,0,Unknown,6th Gen,Low
17-ak001nv (A6-9220/4GB/500GB/Radeon,Notebook,17.3,4,Windows 10,2.71,439,Full HD,1920,1080,No,No,No,AMD,2.5,A6-Series 9220,500,0,HDD,No,AMD,Radeon 530,0,HDD,9th Gen,Low
XPS 13,Ultrabook,13.3,16,Windows 10,1.2,1869,Quad HD+,3200,1800,Yes,No,No,Intel,1.8,Core i7 8550U,512,0,SSD,No,Intel,UHD Graphics 620,0,SSD,8th Gen,Premium
MacBook Air,Ultrabook,13.3,8,Mac OS X,1.35,998,Standard,1440,900,No,No,No,Intel,1.6,Core i5,256,0,Flash Storage,No,Intel,HD Graphics 6000,0,Unknown,Unknown,Mid
IdeaPad 120S-14IAP,Notebook,14,4,Windows 10,1.44,249,Standard,1366,768,No,No,No,Intel,1.1,Celeron Dual Core N3350,64,0,Flash Storage,No,Intel,HD Graphics 500,0,Unknown,3th Gen,Low
Aspire 3,Notebook,15.6,4,Linux,2.1,367,Standard,1366,768,No,No,No,Intel,2.7,Core i3 7130U,1024,0,HDD,No,Intel,HD Graphics 620,0,HDD,7th Gen,Low
Inspiron 5770,Notebook,17.3,8,Windows 10,2.8,979,Full HD,1920,1080,No,Yes,No,Intel,1.6,Core i5 8250U,128,1024,SSD,HDD,AMD,Radeon 530,0,Mixed,8th Gen,Mid
250 G6,Notebook,15.6,4,Windows 10,1.86,489,Standard,1366,768,No,No,No,Intel,2.5,Core i5 7200U,1024,0,HDD,No,Intel,HD Graphics 620,0,HDD,7th Gen,Low
ProBook 450,Notebook,15.6,8,Windows 10,2.1,879,Full HD,1920,1080,No,No,No,Intel,1.6,Core i5 8250U,256,0,SSD,No,Nvidia,GeForce 930MX ,0,SSD,8th Gen,Mid
X540UA-DM186 (i3-6006U/4GB/1TB/FHD/Linux),Notebook,15.6,4,Linux,2,389,Full HD,1920,1080,No,No,No,Intel,2,Core i3 6006U,1024,0,HDD,No,Intel,HD Graphics 620,0,HDD,6th Gen,Low
Inspiron 7577,Gaming,15.6,16,Windows 10,2.65,1499,Full HD,1920,1080,No,Yes,No,Intel,2.8,Core i7 7700HQ,256,1024,SSD,HDD,Nvidia,GeForce GTX 1060,0,Mixed,7th Gen,High
X542UQ-GO005 (i5-7200U/8GB/1TB/GeForce,Notebook,15.6,8,Linux,2.3,523,Standard,1366,768,No,No,No,Intel,2.5,Core i5 7200U,1024,0,HDD,No,Nvidia,GeForce 940MX,0,HDD,7th Gen,Low
Aspire A515-51G,Notebook,15.6,4,Windows 10,2.2,682,Full HD,1920,1080,No,Yes,No,Intel,1.6,Core i5 8250U,256,0,SSD,No,Intel,UHD Graphics 620,0,SSD,8th Gen,Mid
Inspiron 7773,2 in 1 Convertible,17.3,12,Windows 10,2.77,999,Full HD,1920,1080,Yes,No,No,Intel,1.6,Core i5 8250U,1024,0,HDD,No,Nvidia,GeForce 150MX,0,HDD,8th Gen,Mid
MacBook Pro,Ultrabook,13.3,8,macOS,1.37,1419,Standard,2560,1600,No,Yes,Yes,Intel,2,Core i5,256,0,SSD,No,Intel,Iris Graphics 540,0,SSD,Unknown,High
IdeaPad 320-15ISK,Notebook,15.6,4,No OS,2.2,369,Standard,1366,768,No,No,No,Intel,2,Core i3 6006U,128,0,SSD,No,Intel,HD Graphics 520,0,SSD,6th Gen,Low
Rog Strix,Gaming,17.3,8,Windows 10,3.2,1299,Full HD,1920,1080,No,No,No,AMD,3,Ryzen 1700,256,1024,SSD,HDD,AMD,Radeon RX 580,0,Mixed,1th Gen,High
Inspiron 3567,Notebook,15.6,4,Windows 10,2.3,639,Full HD,1920,1080,No,No,No,Intel,2.5,Core i5 7200U,256,0,SSD,No,AMD,Radeon R5 M430,0,SSD,7th Gen,Mid
X751NV-TY001T (N4200/4GB/1TB/GeForce,Notebook,17.3,4,Windows 10,2.8,466,Standard,1366,768,No,No,No,Intel,1.1,Pentium Quad Core N4200,1024,0,HDD,No,Nvidia,GeForce 920MX,0,HDD,4th Gen,Low
Yoga Book,2 in 1 Convertible,10.1,4,Android,0.69,319,Standard,1920,1200,Yes,Yes,No,Intel,1.44,Atom x5-Z8550,64,0,Flash Storage,No,Intel,HD Graphics 400,0,Unknown,8th Gen,Low
Aspire A515-51G,Notebook,15.6,8,Windows 10,2.2,841,Full HD,1920,1080,No,Yes,No,Intel,1.8,Core i7 8550U,256,0,SSD,No,Nvidia,GeForce MX150,0,SSD,8th Gen,Mid
255 G6,Notebook,15.6,4,Windows 10,1.86,398,Full HD,1920,1080,No,No,No,AMD,2.5,A6-Series 9220,256,0,SSD,No,AMD,Radeon R4 Graphics,0,SSD,9th Gen,Low
ProBook 430,Notebook,13.3,8,Windows 10,1.49,1103,Full HD,1920,1080,No,No,No,Intel,1.8,Core i7 8550U,512,0,SSD,No,Intel,UHD Graphics 620,0,SSD,8th Gen,High
Aspire 3,Notebook,15.6,4,Windows 10,2.4,384,Standard,1366,768,No,No,No,Intel,2.4,Core i3 7100U,1024,0,HDD,No,Intel,HD Graphics 620,0,HDD,7th Gen,Low
Inspiron 3576,Notebook,15.6,8,Windows 10,2.13,768,Full HD,1920,1080,No,No,No,Intel,1.8,Core i7 8550U,256,0,SSD,No,AMD,Radeon 520,0,SSD,8th Gen,Mid
15-bs002nv (i3-6006U/4GB/128GB/FHD/W10),Notebook,15.6,4,Windows 10,1.91,439,Full HD,1920,1080,No,No,No,Intel,2,Core i3 6006U,128,0,SSD,No,Intel,HD Graphics 520,0,SSD,6th Gen,Low
VivoBook Max,Notebook,15.6,4,Windows 10,2,586,Standard,1366,768,No,No,No,Intel,2.5,Core i5 7200U,256,0,SSD,No,Intel,HD Graphics 620,0,SSD,7th Gen,Low
GS73VR 7RG,Gaming,17.3,16,Windows 10,2.43,2449,Full HD,1920,1080,No,No,No,Intel,2.8,Core i7 7700HQ,256,2048,SSD,HDD,Nvidia,GeForce GTX 1070,0,Mixed,7th Gen,Premium
X541UA-DM1897 (i3-6006U/4GB/256GB/FHD/Linux),Notebook,15.6,4,Linux,2,415,Full HD,1920,1080,No,No,No,Intel,2,Core i3 6006U,256,0,SSD,No,Intel,HD Graphics 520,0,SSD,6th Gen,Low
Inspiron 5770,Notebook,17.3,16,Windows 10,2.8,1299,Full HD,1920,1080,No,No,No,Intel,1.8,Core i7 8550U,256,2048,SSD,HDD,AMD,Radeon 530,0,Mixed,8th Gen,High
Vostro 5471,Ultrabook,14,8,Windows 10,1.7,879,Full HD,1920,1080,No,No,No,Intel,1.6,Core i5 8250U,256,0,SSD,No,Intel,UHD Graphics 620,0,SSD,8th Gen,Mid
IdeaPad 520S-14IKB,Notebook,14,8,No OS,1.7,599,Full HD,1920,1080,No,Yes,No,Intel,2.7,Core i3 7130U,256,0,SSD,No,Intel,HD Graphics 620,0,SSD,7th Gen,Low
UX410UA-GV350T (i5-8250U/8GB/256GB/FHD/W10),Notebook,14,8,Windows 10,1.4,941,Full HD,1920,1080,No,No,No,Intel,1.6,Core i5 8250U,256,0,SSD,No,Intel,UHD Graphics 620,0,SSD,8th Gen,Mid
250 G6,Notebook,15.6,8,Windows 10,1.86,690,Full HD,1920,1080,No,No,No,Intel,2.5,Core i5 7200U,256,0,SSD,No,Intel,HD Graphics 620,0,SSD,7th Gen,Mid
ZenBook Pro,Ultrabook,15.6,16,Windows 10,1.8,1983,Full HD,1920,1080,No,No,No,Intel,2.8,Core i7 7700HQ,512,0,SSD,No,Nvidia,GeForce GTX 1050 Ti,0,SSD,7th Gen,Premium
250 G6,Notebook,15.6,4,Windows 10,1.86,439,Standard,1366,768,No,No,No,Intel,2,Core i3 6006U,500,0,HDD,No,AMD,Radeon 520,0,HDD,6th Gen,Low
Stream 14-AX040wm,Notebook,14,4,Windows 10,1.44,229,Standard,1366,768,No,No,No,Intel,1.6,Celeron Dual Core N3060,32,0,SSD,No,Intel,HD Graphics 400,0,SSD,3th Gen,Low
V310-15ISK (i5-7200U/4GB/1TB/FHD/W10),Notebook,15.6,4,Windows 10,1.9,549,Full HD,1920,1080,No,No,No,Intel,2.5,Core i5 7200U,1024,0,HDD,No,Intel,HD Graphics 620,0,HDD,7th Gen,Low
FX753VE-GC093 (i7-7700HQ/12GB/1TB/GeForce,Gaming,17.3,12,Linux,3,949,Full HD,1920,1080,No,No,No,Intel,2.8,Core i7 7700HQ,1024,0,HDD,No,Nvidia,GeForce GTX 1050 Ti,0,HDD,7th Gen,Mid
Surface Laptop,Ultrabook,13.5,4,Windows 10 S,1.252,1089,Standard,2256,1504,Yes,No,No,Intel,2.5,Core i5 7200U,128,0,SSD,No,Intel,HD Graphics 620,0,SSD,7th Gen,High
Inspiron 5370,Ultrabook,13.3,8,Windows 10,1.4,955,Full HD,1920,1080,No,Yes,No,Intel,1.8,Core i7 8550U,256,0,SSD,No,AMD,Radeon 530,0,SSD,8th Gen,Mid
Inspiron 5570,Notebook,15.6,8,Windows 10,2.2,870,Full HD,1920,1080,No,No,No,Intel,1.8,Core i7 8550U,256,0,SSD,No,AMD,Radeon 530,0,SSD,8th Gen,Mid
GL72M 7RDX,Gaming,17.3,8,Windows 10,2.7,1095,Full HD,1920,1080,No,No,No,Intel,2.5,Core i5 7300HQ,128,1024,SSD,HDD,Nvidia,GeForce GTX 1050,0,Mixed,7th Gen,High
Aspire E5-475,Notebook,14,8,Windows 10,2.1,389,Standard,1366,768,No,No,No,Intel,2,Core i3 6006U,1024,0,HDD,No,Intel,HD Graphics 520,0,HDD,6th Gen,Low
FX503VD-E4022T (i7-7700HQ/8GB/1TB/GeForce,Gaming,15.6,8,Windows 10,2.2,949,Full HD,1920,1080,No,No,No,Intel,2.8,Core i7 7700HQ,1024,0,HDD,No,Nvidia,GeForce GTX 1050,0,HDD,7th Gen,Mid
IdeaPad 320-15IKBN,Notebook,15.6,8,No OS,2.2,519,Full HD,1920,1080,No,No,No,Intel,2.5,Core i5 7200U,2048,0,HDD,No,Intel,HD Graphics 620,0,HDD,7th Gen,Low
Inspiron 5570,Notebook,15.6,8,Windows 10,2.02,855,Full HD,1920,1080,No,No,No,Intel,1.8,Core i7 8550U,128,1024,SSD,HDD,Intel,UHD Graphics 620,0,Mixed,8th Gen,Mid
Aspire A515-51G-32MX,Notebook,15.6,4,Windows 10,2.2,530,Full HD,1920,1080,No,No,No,Intel,2.7,Core i3 7130U,1024,0,HDD,No,Nvidia,GeForce MX130,0,HDD,7th Gen,Low
ProBook 470,Notebook,17.3,8,Windows 10,2.5,977,Full HD,1920,1080,No,No,No,Intel,1.6,Core i5 8250U,128,1024,SSD,HDD,Nvidia,GeForce 930MX,0,Mixed,8th Gen,Mid
Latitude 5590,Ultrabook,15.6,8,Windows 10,1.88,1096,Full HD,1920,1080,No,Yes,No,Intel,1.6,Core i5 8250U,256,0,SSD,No,Intel,UHD Graphics 620,0,SSD,8th Gen,High
"MacBook 12""",Ultrabook,12,8,macOS,0.92,1510,Standard,2304,1440,No,Yes,Yes,Intel,1.3,Core i5,512,0,SSD,No,Intel,HD Graphics 615,0,SSD,Unknown,Premium
ProBook 440,Notebook,14,8,Windows 10,1.63,860,Full HD,1920,1080,No,No,No,Intel,1.6,Core i5 8250U,256,0,SSD,No,Intel,HD Graphics 620,0,SSD,8th Gen,Mid
IdeaPad 320-15AST,Notebook,15.6,4,Windows 10,2.2,399,Full HD,1920,1080,No,No,No,AMD,2.5,A6-Series 9220,128,0,SSD,No,AMD,R4 Graphics,0,SSD,9th Gen,Low
Aspire 3,Notebook,15.6,4,Windows 10,2.1,395,Standard,1366,768,No,No,No,AMD,3,A9-Series 9420,1024,0,HDD,No,AMD,Radeon R5,0,HDD,9th Gen,Low
Inspiron 7577,Gaming,15.6,16,Windows 10,2.65,1349,Full HD,1920,1080,No,Yes,No,Intel,2.8,Core i7 7700HQ,128,1024,SSD,HDD,Nvidia,GeForce GTX 1050 Ti,0,Mixed,7th Gen,High
Pavilion 15-CK000nv,Ultrabook,15.6,8,Windows 10,1.83,699,Full HD,1920,1080,No,Yes,No,Intel,1.8,Core i7 8550U,256,0,SSD,No,Nvidia,GeForce GTX 940MX,0,SSD,8th Gen,Mid
250 G6,Notebook,15.6,8,Windows 10,1.96,599,Full HD,1920,1080,No,No,No,Intel,2.5,Core i5 7200U,256,0,SSD,No,Intel,HD Graphics 620,0,SSD,7th Gen,Low
FX503VM-E4007T (i7-7700HQ/16GB/1TB,Gaming,15.6,16,Windows 10,2.2,1449,Full HD,1920,1080,No,Yes,No,Intel,2.8,Core i7 7700HQ,128,1024,SSD,HDD,Nvidia,GeForce GTX 1060,0,Mixed,7th Gen,High
XPS 13,Ultrabook,13.3,8,Windows 10,1.21,1649,Full HD,1920,1080,No,Yes,No,Intel,1.8,Core i7 8550U,256,0,SSD,No,Intel,UHD Graphics 620,0,SSD,8th Gen,Premium
FX550IK-DM018T (FX-9830P/8GB/1TB/Radeon,Gaming,15.6,8,Windows 10,2.45,699,Full HD,1920,1080,No,No,No,AMD,3,FX 9830P,1024,0,HDD,No,AMD,Radeon RX 560,0,HDD,9th Gen,Mid
Aspire 5,Notebook,15.6,8,Windows 10,2.2,689,Full HD,1920,1080,No,No,No,Intel,1.8,Core i7 8550U,1024,0,HDD,No,Nvidia,GeForce MX150,0,HDD,8th Gen,Mid
Probook 430,Notebook,13.3,16,Windows 10,1.49,1197,Full HD,1920,1080,No,No,No,Intel,1.8,Core i7 8550U,512,0,SSD,No,Intel,UHD Graphics 620,0,SSD,8th Gen,High
Inspiron 7577,Gaming,15.6,8,Windows 10,2.65,1195,Full HD,1920,1080,No,No,No,Intel,2.5,Core i5 7300HQ,256,0,SSD,No,Nvidia,GeForce GTX 1060,0,SSD,7th Gen,High
Zenbook UX430UA,Ultrabook,14,8,Windows 10,1.25,1049,Full HD,1920,1080,No,No,No,Intel,2.7,Core i7 7500U,256,0,SSD,No,Intel,HD Graphics 620,0,SSD,7th Gen,High
Spin 5,2 in 1 Convertible,13.3,8,Windows 10,1.5,847,Full HD,1920,1080,Yes,Yes,No,Intel,1.6,Core i5 8250U,256,0,SSD,No,Intel,UHD Graphics 620,0,SSD,8th Gen,Mid
Inspiron 3567,Notebook,15.6,8,Linux,2.2,600,Full HD,1920,1080,No,No,No,Intel,2.7,Core i7 7500U,1024,0,HDD,No,AMD,Radeon R5 M430,0,HDD,7th Gen,Mid
Inspiron 3567,Notebook,15.6,4,Linux,2.2,485,Full HD,1920,1080,No,No,No,Intel,2,Core i3 6006U,256,0,SSD,No,AMD,Radeon R5 M430,0,SSD,6th Gen,Low
X541UV-DM1439T (i3-7100U/6GB/256GB/GeForce,Notebook,15.6,6,Windows 10,2,577,Full HD,1920,1080,No,No,No,Intel,2.4,Core i3 7100U,256,0,SSD,No,Nvidia,GeForce 920M,0,SSD,7th Gen,Low
Omen 15-ce007nv,Gaming,15.6,12,Windows 10,2.62,1249,Full HD,1920,1080,No,Yes,No,Intel,2.8,Core i7 7700HQ,128,1024,SSD,HDD,Nvidia,GeForce GTX 1050,0,Mixed,7th Gen,High
15-bs017nv (i7-7500U/8GB/256GB/Radeon,Notebook,15.6,8,Windows 10,1.91,719,Full HD,1920,1080,No,No,No,Intel,2.7,Core i7 7500U,256,0,SSD,No,AMD,Radeon 530,0,SSD,7th Gen,Mid
15-bw000nv (E2-9000e/4GB/500GB/Radeon,Notebook,15.6,4,Windows 10,2.1,349,Full HD,1920,1080,No,No,No,AMD,1.5,E-Series E2-9000e,500,0,HDD,No,AMD,Radeon R2,0,HDD,9th Gen,Low
Inspiron 3576,Notebook,15.6,8,Linux,2.2,647,Full HD,1920,1080,No,No,No,Intel,1.6,Core i5 8250U,1024,0,HDD,No,AMD,Radeon 520,0,HDD,8th Gen,Mid
Envy 13-ad009n,Ultrabook,13.3,8,Windows 10,1.38,1119,Full HD,1920,1080,No,Yes,No,Intel,2.7,Core i7 7500U,256,0,SSD,No,Nvidia,GeForce MX150,0,SSD,7th Gen,High
Surface Laptop,Ultrabook,13.5,8,Windows 10 S,1.252,1340,Standard,2256,1504,Yes,No,No,Intel,2.5,Core i5 7200U,256,0,SSD,No,Intel,HD Graphics 620,0,SSD,7th Gen,High
Pavilion 14-BK001nv,Notebook,14,6,Windows 10,1.58,659,Full HD,1920,1080,No,Yes,No,Intel,2.5,Core i5 7200U,256,0,SSD,No,Nvidia,GeForce 940MX,0,SSD,7th Gen,Mid
Ideapad 310-15ISK,Notebook,15.6,4,Windows 10,1.85,415,Full HD,1920,1080,No,No,No,Intel,2,Core i3 6006U,1024,0,HDD,No,Intel,HD Graphics 520,0,HDD,6th Gen,Low
UX430UQ-GV209R (i7-7500U/8GB/256GB/GeForce,Ultrabook,14,8,Windows 10,1.3,1193,Full HD,1920,1080,No,Yes,No,Intel,2.7,Core i7 7500U,256,0,SSD,No,Nvidia,GeForce 940MX,0,SSD,7th Gen,High
GP62M 7REX,Gaming,15.6,16,Windows 10,2.2,1299,Full HD,1920,1080,No,No,No,Intel,2.8,Core i7 7700HQ,256,1024,SSD,HDD,Nvidia,GeForce GTX 1050 Ti,0,Mixed,7th Gen,High
Thinkpad T470,Notebook,14,8,Windows 10,1.58,1480,Full HD,1920,1080,No,Yes,No,Intel,2.7,Core i7 7500U,256,0,SSD,No,Intel,HD Graphics 620,0,SSD,7th Gen,High
VivoBook S15,Ultrabook,15.6,16,Windows 10,1.5,1262,Full HD,1920,1080,No,No,No,Intel,1.8,Core i7 8550U,256,1024,SSD,HDD,Nvidia,GeForce MX150,0,Mixed,8th Gen,High
XPS 13,Ultrabook,13.3,8,Windows 10,1.23,1379,Quad HD+,3200,1800,Yes,No,No,Intel,2.4,Core i7 7560U,256,0,SSD,No,Intel,Iris Plus Graphics 640,0,SSD,7th Gen,High
ThinkPad Yoga,2 in 1 Convertible,13.3,8,Windows 10,1.37,1399,Full HD,1920,1080,Yes,Yes,No,Intel,2.5,Core i5 7200U,256,0,SSD,No,Intel,HD Graphics 620,0,SSD,7th Gen,High
Probook 440,Notebook,14,4,Windows 10,1.63,722,Standard,1366,768,No,Yes,No,Intel,1.6,Core i5 8250U,500,0,HDD,No,Intel,UHD Graphics 620,0,HDD,8th Gen,Mid
XPS 13,Ultrabook,13.3,8,Windows 10,1.21,1629,Full HD,1920,1080,No,Yes,No,Intel,1.6,Core i5 8250U,256,0,SSD,No,Intel,UHD Graphics 620,0,SSD,8th Gen,Premium
Spectre x360,2 in 1 Convertible,13.3,8,Windows 10,1.26,1399,Full HD,1920,1080,Yes,Yes,No,Intel,1.6,Core i5 8250U,256,0,SSD,No,Intel,UHD Graphics 620,0,SSD,8th Gen,High
Probook 440,Notebook,14,8,Windows 10,1.63,1084,Full HD,1920,1080,No,No,No,Intel,1.8,Core i7 8550U,512,0,SSD,No,Intel,UHD Graphics 620,0,SSD,8th Gen,High
Inspiron 7570,Notebook,15.6,8,Windows 10,2.16,1130,Full HD,1920,1080,No,Yes,No,Intel,1.8,Core i7 8550U,256,1024,SSD,HDD,Nvidia,GeForce 940MX,0,Mixed,8th Gen,High
X705UV-BX074T (i3-6006U/4GB/1TB/GeForce,Notebook,17.3,4,Windows 10,2,564,Full HD,1920,1080,No,No,No,Intel,2,Core i3 6006U,1024,0,HDD,No,Nvidia,GeForce 920MX,0,HDD,6th Gen,Low
VivoBook S15,Notebook,15.6,8,Windows 10,1.7,1118,Full HD,1920,1080,No,No,No,Intel,1.8,Core i7 8550U,256,0,SSD,No,Nvidia,GeForce 940MX,0,SSD,8th Gen,High
Spin 3,Notebook,15.6,6,Windows 10,2.1,479,Full HD,1920,1080,Yes,Yes,No,Intel,2.4,Core i3 7100U,1024,0,HDD,No,Intel,HD Graphics 620,0,HDD,7th Gen,Low
GS63VR 7RG,Gaming,15.6,16,Windows 10,1.8,2242,Full HD,1920,1080,No,No,No,Intel,2.8,Core i7 7700HQ,256,2048,SSD,HDD,Nvidia,GeForce GTX 1070,0,Mixed,7th Gen,Premium
IdeaPad 320-15IKBN,Notebook,15.6,8,No OS,2.2,629,Full HD,1920,1080,No,No,No,Intel,2.5,Core i5 7200U,256,0,SSD,No,Nvidia,GeForce 940MX,0,SSD,7th Gen,Mid
Probook 470,Notebook,17.3,16,Windows 10,2.5,1271,Full HD,1920,1080,No,No,No,Intel,1.8,Core i7 8550U,512,0,SSD,No,Nvidia,GeForce 930MX ,0,SSD,8th Gen,High
Aspire 3,Notebook,15.6,4,Windows 10,2.1,451,Standard,1366,768,No,No,No,AMD,3,A9-Series 9420,256,0,SSD,No,AMD,Radeon R5,0,SSD,9th Gen,Low
